id,input,output
,Neuron-glial communication mediated by TNF-α and glial activation in dorsal root ganglia in visceral inflammatory hypersensitivity.,"[{'entity1': 'Neuron-glial communication', 'relationship': 'mediated by', 'entity2': 'TNF-α and glial activation'}, {'entity1': 'TNF-α and glial activation', 'relationship': 'in', 'entity2': 'dorsal root ganglia'}, {'entity1': 'TNF-α and glial activation', 'relationship': 'in', 'entity2': 'visceral inflammatory hypersensitivity'}]"
,"Ulcerative colitis exacerbates lipopolysaccharide-induced damage to the nigral dopaminergic system, potential risk factor in Parkinson`s disease.","[{'entity1': 'Ulcerative colitis', 'relationship': 'exacerbates', 'entity2': 'lipopolysaccharide-induced damage to the nigral dopaminergic system'}, {'entity1': 'lipopolysaccharide-induced damage to the nigral dopaminergic system', 'relationship': 'potential risk factor', 'entity2': ""Parkinson's disease""}]"
,Vagus nerve stimulation inhibits cytokine production and attenuates disease severity in rheumatoid arthritis.,"[{'entity1': 'Vagus nerve stimulation', 'relationship': 'inhibits', 'entity2': 'cytokine production'}, {'entity1': 'Vagus nerve stimulation', 'relationship': 'attenuates', 'entity2': 'disease severity in rheumatoid arthritis'}]"
,Neuroinflammation and Comorbidity of Pain and Depression.,"[{'entity1': 'Neuroinflammation', 'relationship': 'Comorbidity', 'entity2': 'Pain and Depression'}]"
,"An assessment of the effects of central interleukin-1β, −2, −6, and tumor necrosis factor-α administration on some behavioural, neurochemical, endocrine and immune parameters in the rat.","[{'entity1': 'interleukin-1β, −2, −6, and tumor necrosis factor-α ', 'relationship': 'effects', 'entity2': 'behavioural, neurochemical, endocrine and immune parameters'}]"
,Reduced glutathione as a physiological co-activator in the activation of peptidylarginine deiminase.,"[{'entity1': 'Reduced glutathione', 'relationship': 'co-activator', 'entity2': 'activation of peptidylarginine deiminase'}]"
,Characterization of the hypercitrullination reaction in human neutrophils and other leukocytes.,"[{'entity1': 'hypercitrullination reaction', 'relationship': 'characterization', 'entity2': 'human neutrophils'}, {'entity1': 'hypercitrullination reaction', 'relationship': 'characterization', 'entity2': 'other leukocytes'}]"
,Release of active peptidyl arginine deiminases by neutrophils can explain production of extracellular citrullinated autoantigens in rheumatoid arthritis synovial fluid.,"[{'entity1': 'Release of active peptidyl arginine deiminases', 'relationship': 'explain', 'entity2': 'production of extracellular citrullinated autoantigens'}, {'entity1': 'production of extracellular citrullinated autoantigens', 'relationship': 'in', 'entity2': 'rheumatoid arthritis synovial fluid'}]"
,Demonstration of extracellular peptidylarginine deiminase (PAD) activity in synovial fluid of patients with rheumatoid arthritis using a novel assay for citrullination of fibrinogen.,"[{'entity1': 'extracellular peptidylarginine deiminase activity', 'relationship': 'demonstration', 'entity2': 'synovial fluid'}, {'entity1': 'synovial fluid', 'relationship': 'of', 'entity2': 'patients with rheumatoid arthritis'}]"
,Reactive oxygen species inhibit catalytic activity of peptidylarginine deiminase.,"[{'entity1': 'Reactive oxygen species', 'relationship': 'inhibit', 'entity2': 'catalytic activity of peptidylarginine deiminase'}]"
,Smoking as a trigger for inflammatory rheumatic diseases.,"[{'entity1': 'Smoking', 'relationship': 'trigger', 'entity2': 'inflammatory rheumatic diseases'}]"
,Smoking increases peptidylarginine deiminase 2 enzyme expression in human lungs and increases citrullination in BAL cells.,"[{'entity1': 'Smoking', 'relationship': 'increases', 'entity2': 'peptidylarginine deiminase 2 enzyme expression'}, {'entity1': 'Smoking', 'relationship': 'increases', 'entity2': 'citrullination in BAL cells'}]"
,Smoking is associated with increased levels of extracellular peptidylarginine deiminase 2 (PAD2) in the lungs.,"[{'entity1': 'Smoking', 'relationship': 'associated', 'entity2': 'increased levels of extracellular peptidylarginine deiminase 2'}, {'entity1': 'extracellular peptidylarginine deiminase 2', 'relationship': 'in', 'entity2': 'the lungs'}]"
,Expression of citrulline and homocitrulline residues in the lungs of non-smokers and smokers: implications for autoimmunity in rheumatoid arthritis.,"[{'entity1': 'Expression of citrulline and homocitrulline residues', 'relationship': 'implications', 'entity2': 'autoimmunity in rheumatoid arthritis'}, {'entity1': 'citrulline and homocitrulline residues', 'relationship': 'in', 'entity2': 'the lungs of non-smokers and smokers'}]"
,Off-pump CABG surgery reduces systemic inflammation compared with on-pump surgery but does not change systemic endothelial responses.,"[{'entity1': 'Off-pump CABG surgery', 'relationship': 'reduces', 'entity2': 'systemic inflammation'}, {'entity1': 'Off-pump CABG surgery', 'relationship': 'compared', 'entity2': 'on-pump surgery'}]"
,Soluble VCAM-1 is a very early marker of endothelial cell activation in cardiopulmonary bypass.,"[{'entity1': 'Soluble VCAM-1', 'relationship': 'marker', 'entity2': 'endothelial cell activation'}, {'entity1': 'endothelial cell activation', 'relationship': 'in', 'entity2': 'cardiopulmonary bypass'}]"
,Changes in adhesion molecule expression and oxidative burst activity of granulocytes and monocytes during open-heart surgery with cardiopulmonary bypass compared with abdominal surgery.,"[{'entity1': 'Changes in adhesion molecule expression and oxidative burst activity', 'relationship': 'of', 'entity2': 'granulocytes and monocytes'}, {'entity1': 'adhesion molecule expression and oxidative burst activity of granulocytes and monocytes', 'relationship': 'during', 'entity2': 'open-heart surgery with cardiopulmonary bypass'}, {'entity1': 'open-heart surgery with cardiopulmonary bypass', 'relationship': 'compared', 'entity2': 'abdominal surgery'}]"
,Release of soluble vascular endothelial growth factor receptor-1 (sFlt-1) during coronary artery bypass surgery.,"[{'entity1': 'Release of soluble vascular endothelial growth factor receptor-1', 'relationship': 'during', 'entity2': 'coronary artery bypass surgery'}]"
,Generation of monoclonal antibodies against peptidylarginine deiminase 2 (PAD2) and development of a PAD2-specific enzyme-linked immunosorbent assay.,"[{'entity1': 'Generation of monoclonal antibodies', 'relationship': 'against', 'entity2': 'peptidylarginine deiminase 2'}, {'entity1': 'development', 'relationship': 'of', 'entity2': 'a PAD2-specific enzyme-linked immunosorbent assay'}]"
,Oxidation of glutathione and cysteine in human plasma associated with smoking.,"[{'entity1': 'Oxidation of glutathione and cysteine', 'relationship': 'associated', 'entity2': 'smoking'}, {'entity1': 'glutathione and cysteine', 'relationship': 'in', 'entity2': 'human plasma'}]"
,Regulation of chemokine activity by posttranslational modification.,"[{'entity1': 'Regulation of chemokine activity', 'relationship': 'by', 'entity2': 'posttranslational modification'}]"
,Proteome analysis of rheumatoid arthritis gut mucosa.,"[{'entity1': 'Proteome analysis', 'relationship': 'of', 'entity2': 'rheumatoid arthritis gut mucosa'}]"
,Spontaneous secretion of the citrullination enzyme PAD2 and cell surface exposure of PAD4 by neutrophils.,"[{'entity1': 'Spontaneous secretion', 'relationship': 'of', 'entity2': 'the citrullination enzyme PAD2'}, {'entity1': 'cell surface exposure', 'relationship': 'of', 'entity2': 'PAD4'}, {'entity1': 'PAD4', 'relationship': 'by', 'entity2': 'neutrophils'}]"
,Inflammatory but not apoptotic death of granulocytes citrullinates fibrinogen.,"[{'entity1': 'Inflammatory death of granulocytes', 'relationship': 'citrullinates', 'entity2': 'fibrinogen'}]"
,"These are mitofusins(Mfn1 & Mfn2) transmembrane GTPases embedded in the mitochondrial outer membrane, Optic atro- phy1 (OPA) is a dynamin-related GTPases associated with the mitochondrial inner membrane or intermembrane space.","[{'entity1': 'mitofusins', 'relationship': 'embedded', 'entity2': 'mitochondrial outer membrane'}, {'entity1': 'Optic atrophy1', 'relationship': 'associated', 'entity2': 'mitochondrial inner membrane'}, {'entity1': 'Optic atrophy1', 'relationship': 'associated', 'entity2': 'intermembrane space'}]"
,"Proper balance of the antagonist activities of fusion and fission is crucial for fundamental mitochondrial integrity and func- tioning including energy metabolism, ROS generation, and apoptosis regulation.","[{'entity1': 'balance of fusion and fission', 'relationship': 'crucial', 'entity2': 'mitochondrial integrity'}, {'entity1': 'balance of fusion and fission', 'relationship': 'crucial', 'entity2': 'mitochondrial functioning'}, {'entity1': 'balance of fusion and fission', 'relationship': 'crucial', 'entity2': 'energy metabolism'}, {'entity1': 'balance of fusion and fission', 'relationship': 'crucial', 'entity2': 'ROS generation'}, {'entity1': 'balance of fusion and fission', 'relationship': 'crucial', 'entity2': 'apoptosis regulation'}]"
,Fission promotes the removal of damaged mitochondria by mitophagy to maintain proper assembly of electron transport chain complexes.,"[{'entity1': 'Fission', 'relationship': 'promotes', 'entity2': 'removal of damaged mitochondria'}, {'entity1': 'removal of damaged mitochondria', 'relationship': 'maintain', 'entity2': 'proper assembly of electron transport chain complexes'}]"
,"Fusion allows for mitochondrial interconnection, favoring mtDNA mixing, signal transmission and exchange of metabolites with in- network.","[{'entity1': 'Fusion', 'relationship': 'allows', 'entity2': 'mitochondrial interconnection'}, {'entity1': 'Fusion', 'relationship': 'favoring', 'entity2': 'mtDNA mixing'}, {'entity1': 'Fusion', 'relationship': 'allows', 'entity2': 'signal transmission'}, {'entity1': 'Fusion', 'relationship': 'allows', 'entity2': 'exchange of metabolites'}]"
,"On the other hand, fission ensures equal organelle segregation between daughter cells and target defective mitochondria for their subsequent removal through mitophagy.","[{'entity1': 'fission', 'relationship': 'ensures', 'entity2': 'equal organelle segregation between daughter cells'}, {'entity1': 'fission', 'relationship': 'target', 'entity2': 'defective mitochondria'}, {'entity1': 'defective mitochondria', 'relationship': 'removal through', 'entity2': 'mitophagy'}]"
,"The dynamic process controls mitochondrial morphology, biogenesis, transportation and localization, quality control and degradation, and apoptotic cell deaths.","[{'entity1': 'The dynamic process', 'relationship': 'controls', 'entity2': 'mitochondrial morphology'}, {'entity1': 'The dynamic process', 'relationship': 'controls', 'entity2': 'biogenesis'}, {'entity1': 'The dynamic process', 'relationship': 'controls', 'entity2': 'transportation'}, {'entity1': 'The dynamic process', 'relationship': 'controls', 'entity2': 'localization'}, {'entity1': 'The dynamic process', 'relationship': 'controls', 'entity2': 'quality control'}, {'entity1': 'The dynamic process', 'relationship': 'controls', 'entity2': 'degradation'}, {'entity1': 'The dynamic process', 'relationship': 'controls', 'entity2': 'apoptotic cell deaths'}]"
,"Inflammation is a biological response of the immune system that can be triggered by a variety of factors, including pathogens, damaged cells and toxic compounds. These  factors  may induce  acute  and/or  chronic  inflammatory  responses  in  the heart, pancreas, liver, kidney, lung, brain, intestinal tract and reproductive system, potentially leading to tissue damage or disease.","[{'entity1': 'Inflammation', 'relationship': 'triggered by', 'entity2': 'pathogens'}, {'entity1': 'Inflammation', 'relationship': 'triggered by', 'entity2': 'damaged cells'}, {'entity1': 'Inflammation', 'relationship': 'triggered by', 'entity2': 'toxic compounds'}, {'entity1': 'factors', 'relationship': 'induce', 'entity2': 'acute inflammatory responses'}, {'entity1': 'factors', 'relationship': 'induce', 'entity2': 'chronic inflammatory responses'}, {'entity1': 'Inflammatory responses', 'relationship': 'potentially leading to', 'entity2': 'tissue damage'}, {'entity1': 'Inflammatory responses', 'relationship': 'potentially leading to', 'entity2': 'disease'}]"
,"Various pathogenic factors, such as infection, tissue injury, or cardiac infarction, can induce inflammation by causing  tissue  damage.","[{'entity1': 'pathogenic factors', 'relationship': 'induce', 'entity2': 'inflammation'}, {'entity1': 'infection', 'relationship': 'induce', 'entity2': 'inflammation'}, {'entity1': 'tissue injury', 'relationship': 'induce', 'entity2': 'inflammation'}, {'entity1': 'cardiac infarction', 'relationship': 'induce', 'entity2': 'inflammation'}, {'entity1': 'pathogenic factors', 'relationship': 'cause', 'entity2': 'tissue damage'}]"
,DAMPs are host biomolecules that can initiate and perpetuate a non-infectious inflammatory response.,"[{'entity1': 'DAMPs', 'relationship': 'initiate', 'entity2': 'non-infectious inflammatory response'}, {'entity1': 'DAMPs', 'relationship': 'perpetuate', 'entity2': 'non-infectious inflammatory response'}]"
,Disrupted cells can also recruit innate inflammatory cells in the absence of pathogens by releasing DAMPs,"[{'entity1': 'Disrupted cells', 'relationship': 'recruit', 'entity2': 'innate inflammatory cells'}, {'entity1': 'DAMPs', 'relationship': 'released by', 'entity2': 'Disrupted cells'}]"
,"More than ten members of the TLR family have been identified, and TLRs are the most well-studied of the known PRRs","[{'entity1': 'TLRs', 'relationship': 'well-studied', 'entity2': 'PRRs'}]"
,Transmission of PAMPs and DAMPs is mediated by myeloid differentiation factor-88 (MyD88) along with TLRs.,"[{'entity1': 'Transmission of PAMPs', 'relationship': 'mediated by', 'entity2': 'myeloid differentiation factor-88'}, {'entity1': 'Transmission of DAMPs', 'relationship': 'mediated by', 'entity2': 'myeloid differentiation factor-88'}, {'entity1': 'Transmission of PAMPs', 'relationship': 'mediated by', 'entity2': 'TLRs'}, {'entity1': 'Transmission of DAMPs', 'relationship': 'mediated by', 'entity2': 'TLRs'}]"
,"DAMPs and PAMPs share receptors, such as TLR4, suggesting similarities between infectious and noninfectious inflammatory responses","[{'entity1': 'DAMPs', 'relationship': 'share', 'entity2': 'TLR4'}, {'entity1': 'PAMPs', 'relationship': 'share', 'entity2': 'TLR4'}, {'entity1': 'TLR4', 'relationship': 'suggest', 'entity2': 'similarities between infectious and noninfectious inflammatory responses'}]"
,Coagulation in sepsis.,"[{'entity1': 'Coagulation', 'relationship': 'in', 'entity2': 'sepsis'}]"
,Thrombin: coagulation’s master regulator of innate immunity.,"[{'entity1': 'Thrombin', 'relationship': 'master regulator', 'entity2': 'coagulation'}, {'entity1': 'Thrombin', 'relationship': 'regulator', 'entity2': 'innate immunity'}]"
,The roles of fibrinogen and fibrin in hemostasis and thrombosis.,"[{'entity1': 'fibrinogen', 'relationship': 'roles', 'entity2': 'hemostasis and thrombosis'}, {'entity1': 'fibrin', 'relationship': 'roles', 'entity2': 'hemostasis and thrombosis'}]"
,Blood coagulation and the risk of atherothrombosis: a complex relationship.,"[{'entity1': 'Blood coagulation', 'relationship': 'risk', 'entity2': 'atherothrombosis'}, {'entity1': 'Blood coagulation', 'relationship': 'complex relationship', 'entity2': 'atherothrombosis'}]"
,Disseminated intravascular coagulation in sepsis.,"[{'entity1': 'Disseminated intravascular coagulation', 'relationship': 'in', 'entity2': 'sepsis'}]"
,"The inflammatory response is an adaptive mechanism that evolved to fight against infections and tissue damage. This complex mechanism is vital for the proper function of the organism, and because of that, is under tight regulation involving a complex network of factors, cells, and systems.","[{'entity1': 'inflammatory response', 'relationship': 'evolved', 'entity2': 'fight against infections and tissue damage'}, {'entity1': 'inflammatory response', 'relationship': 'vital', 'entity2': 'proper function of the organism'}]"
,"Physiological inflammation is perfectly orchestrated to allow the mobilization of leukocytes from the circulation to the injured tissues for the removal of pathogens, tissue repair, and return to homeostasis.","[{'entity1': 'Physiological inflammation', 'relationship': 'orchestrated', 'entity2': 'mobilization of leukocytes'}, {'entity1': 'mobilization of leukocytes', 'relationship': 'removal', 'entity2': 'pathogens'}, {'entity1': 'mobilization of leukocytes', 'relationship': 'repair', 'entity2': 'tissue'}, {'entity1': 'mobilization of leukocytes', 'relationship': 'return', 'entity2': 'homeostasis'}]"
,"However, when the self-limited nature of the inflammatory response and the mechanisms of resolution fail, inflammation might become chronic, leading to the development of many disabling serious diseases such as rheumatoid arthritis (RA), inflammatory bowel disease (IBD), or psoriasis.","[{'entity1': 'inflammatory response', 'relationship': 'fail', 'entity2': 'mechanisms of resolution'}, {'entity1': 'inflammatory response', 'relationship': 'become', 'entity2': 'chronic'}, {'entity1': 'chronic inflammatory response', 'relationship': 'leading', 'entity2': 'development of disabling serious diseases'}]"
,"This resulted in enormous improvements in the treatments for immune-mediated inflammatory diseases, but also revealed the com-plexity of the cytokine networks and immune cell subtypes involved in non-resolvinginflammatory responses.","[{'entity1': 'enormous improvements', 'relationship': 'resulted', 'entity2': 'treatments for immune-mediated inflammatory diseases'}, {'entity1': 'enormous improvements', 'relationship': 'revealed', 'entity2': 'complexity of cytokine networks and immune cell subtypes'}, {'entity1': 'complexity of cytokine networks and immune cell subtypes', 'relationship': 'involved', 'entity2': 'non-resolving inflammatory responses'}]"
,"While an acute inflammatory response is protective, chronic neuroinflammation leads to inflamma-tory conditions such as multiple sclerosis, and it also contributes to other neurological [1] and psychiatric disorders such as Alzheimer’s or Parkinson’s disease [2].","[{'entity1': 'acute inflammatory response', 'relationship': 'protective', 'entity2': ''}, {'entity1': 'chronic neuroinflammation', 'relationship': 'leads to', 'entity2': 'inflammatory conditions'}, {'entity1': 'chronic neuroinflammation', 'relationship': 'contributes to', 'entity2': 'neurological and psychiatric disorders'}]"
,Experimental Encephalitozoon cuniculi infection acquired from fermented meat products.,"[{'entity1': 'Encephalitozoon cuniculi infection', 'relationship': 'acquired from', 'entity2': 'fermented meat products'}]"
,Acute disseminated encephalomyelitis and reactivation of cerebral toxoplasmosis in a child: case report.,"[{'entity1': 'Acute disseminated encephalomyelitis', 'relationship': 'reactivation', 'entity2': 'cerebral toxoplasmosis'}]"
,The course of infection caused by Encephalitozoon cuniculi genotype III in immunocompetent and immunodeficient mice.,"[{'entity1': 'infection', 'relationship': 'caused by', 'entity2': 'Encephalitozoon cuniculi genotype III'}, {'entity1': 'infection', 'relationship': 'course', 'entity2': 'immunocompetent and immunodeficient mice'}]"
,Microsporidiosis is not just in AIDS patients.,"[{'entity1': 'Microsporidiosis', 'relationship': 'in', 'entity2': 'AIDS patients'}]"
,"Insulin resistance (IR) is known to be characteristic of type 2 diabetes mellitus,             and is regarded as an important mechanism in disease pathogenesis.","[{'entity1': 'Insulin resistance', 'relationship': 'characteristic', 'entity2': 'Type 2 diabetes mellitus'}, {'entity1': 'Insulin resistance', 'relationship': 'mechanism', 'entity2': 'disease pathogenesis'}]"
,One of the key pathogenetic             mechanisms  of  IR  progression  is  impaired  free  fatty  acid  (FFA)  metabolism.,"[{'entity1': 'pathogenesis', 'relationship': 'progression', 'entity2': 'impaired free fatty acid metabolism'}]"
,"Plasminogen-            activator inhibitor 1 (PAI-1) and key inflammation markers, ie, interleukin 6 (IL-6) and C-reactive             protein (CRP), also play a role.","[{'entity1': 'Plasminogen-activator inhibitor 1', 'relationship': 'role', 'entity2': 'Insulin resistance'}, {'entity1': 'Interleukin 6', 'relationship': 'role', 'entity2': 'Insulin resistance'}, {'entity1': 'C-reactive protein', 'relationship': 'role', 'entity2': 'Insulin resistance'}]"
,"Among  proinflammatory  cytokines  contributing  to         IR  development,  the  role  of  interleukin  (IL)-6,  which  has         autocrine and paracrine properties and is involved in insulin         reception and free fatty acid (FFA) metabolism regulation,         has been extensively studied.","[{'entity1': 'Interleukin 6', 'relationship': 'contributing', 'entity2': 'Insulin resistance development'}, {'entity1': 'Interleukin 6', 'relationship': 'involved', 'entity2': 'insulin reception'}, {'entity1': 'Interleukin 6', 'relationship': 'involved', 'entity2': 'free fatty acid metabolism regulation'}]"
69.0,"Recent literature delineated the importance of IL-8 and IL-10 in the molecular mechanisms driving GI inflammatory diseases.14,15 The fact that c-MIM-1 includes ULD of IL-8 and LD of IL-10 in its formulation thus motivated the choice of assessing the cellular effects of this medicine in an in vitro model of intestinal inflammation","[{'entity1': 'IL-8', 'relationship': 'importance', 'entity2': 'molecular mechanisms driving GI inflammatory diseases'}, {'entity1': 'IL-10', 'relationship': 'importance', 'entity2': 'molecular mechanisms driving GI inflammatory diseases'}, {'entity1': 'c-MIM-1', 'relationship': 'includes', 'entity2': 'ULD of IL-8'}, {'entity1': 'c-MIM-1', 'relationship': 'includes', 'entity2': 'LD of IL-10'}, {'entity1': 'c-MIM-1', 'relationship': 'assessed', 'entity2': 'cellular effects in an in vitro model of intestinal inflammation'}]"
70.0,"Numerous treatment strategies have been employed in order to reduce inflammation and immunotherapies are one of them.  For  instance,  the  use  of  cytokine-based  therapies  has  been  reported  in  the  management  of  sepsis,  diabetes,  or cardiovascular  diseases  with  quite  promising  results.","[{'entity1': 'treatment strategies', 'relationship': 'employed', 'entity2': 'reduce inflammation'}, {'entity1': 'immunotherapies', 'relationship': 'instance', 'entity2': 'cytokine-based therapies'}, {'entity1': 'cytokine-based therapies', 'relationship': 'reported', 'entity2': 'management of sepsis, diabetes, cardiovascular diseases'}]"
72.0,"Cortical Neurons were cultured from cortexes removed from rat fetuses. The cortexes were dissociated by trypsin-EDTA for 20 min at 37°C. The cells were cultured in Neurobasal medium supplemented with B27, L-glutamine, antibiotics, FCS and BDNF.","[{'entity1': 'Cortical Neurons', 'relationship': 'cultured from', 'entity2': 'cortexes from rat fetuses'}, {'entity1': 'cortexes', 'relationship': 'removed from', 'entity2': 'rat fetuses'}, {'entity1': 'cortexes', 'relationship': 'dissociated by', 'entity2': 'trypsin-EDTA'}, {'entity1': 'Cortical Neurons', 'relationship': 'cultured in', 'entity2': 'Neurobasal medium with supplements'}]"
73.0,"Astrocytes and microglia were cultured from rat glial cells. The cells were seeded in flasks and after 5 days, dissociated and added to neuron cultures.","[{'entity1': 'Astrocytes and microglia', 'relationship': 'cultured from', 'entity2': 'rat glial cells'}, {'entity1': 'rat glial cells', 'relationship': 'seeded in', 'entity2': 'flasks'}, {'entity1': 'rat glial cells', 'relationship': 'dissociated after', 'entity2': '5 days'}, {'entity1': 'Astrocytes and microglia', 'relationship': 'added to', 'entity2': 'neuron cultures'}]"
74.0,"After 8 days coculture, cells were treated with c-MIM-2, MK801 or vehicle. After 9 days coculture, cells were treated with or without LPS/IFN-gamma combination.","[{'entity1': 'cells', 'relationship': 'treated after', 'entity2': '8 days coculture'}, {'entity1': 'cells', 'relationship': 'treated with', 'entity2': 'c-MIM-2, MK801 or vehicle'}, {'entity1': 'cells ', 'relationship': 'treated after', 'entity2': '9 days coculture'}, {'entity1': 'cells', 'relationship': 'treated with', 'entity2': 'LPS/IFN-gamma'}]"
75.0,"After LPS/IFN-gamma treatment, supernatants were collected to quantify TNF-alpha release. Cortical neuron survival was analyzed after 48 hours incubation.","[{'entity1': 'supernatants', 'relationship': 'collected after', 'entity2': 'LPS/IFN-gamma treatment'}, {'entity1': 'TNF-alpha', 'relationship': 'release quantified from', 'entity2': 'supernatants'}, {'entity1': 'Cortical neuron survival', 'relationship': 'analyzed after', 'entity2': '48 hours incubation'}]"
